DID,Handle,Display Name,CreatedAt,Text,ReplyCount,RepostCount,LikeCount,QuoteCount,Parent DID,Parent Handle,Parent Display Name,Parent CreatedAt,Parent Text,Parent ReplyCount,Parent RepostCount,Parent LikeCount,Parent QuoteCount,Quoted DID,Quoted Handle,Quoted Display Name,Quoted CreatedAt,Quoted Text,Quoted ReplyCount,Quoted RepostCount,Quoted LikeCount,Quoted QuoteCount
did:plc:n6iiqxuhgkbj22szgegzl75x,jeffhancockphoto.com,Jeff Hancock,2024-08-27T18:53:53.349Z,"Thousands of people were probably dying due in part to misinformation of the kind that was being shared on Facebook.  It seems reasonable for the government to request, obviously they couldn't and didn't mandate, content moderation in favor of overwhelming public good.",0,0,0,0,did:plc:cak4klqoj3bqgk5rj6b4f5do,mmasnick.bsky.social,Mike Masnick,2024-08-27T05:55:02.929Z,"I've already seen multiple people claiming this is Zuck admitting that they censored content in response to Biden pressure, which if you actually read the letter is not at all what he said. But it's written in a manner that makes it easy to misread it that way. How do Meta staffers not know this?",20,12,177,2,,,,,,0,0,0,0
did:plc:giip3jr2xysgzgcexh3h2ygz,c0mm13ba5tard.bsky.social,you 🌚,2024-08-27T17:21:09.070Z,"I'll be quite blunt: unless you have powerful traumas or strong aversions to specific things, I'd just turn off all the bluesky moderation service sliders until bluesky learns to take moderation seriously and apply them fairly. at most, just leave them at warn",3,2,12,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:an5cb3ab3cjswxhb3czqqjov,richardferro.bsky.social,"Richard Ferro, MD",2024-08-27T14:46:38.737Z,"Note for incoming new #Medsky people. Another great tool on Bsky moderation is the ability to create “mute lists.” For example, if someone is spreading misinformation about COVID vaccines you can create a mute list with those accounts, and can share it with your followers as well.",1,10,17,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:r6wxzh5hkti7iqfhsw4mrp5n,ragingspirit.bsky.social,Raging Spirit,2024-08-30T22:04:59.297Z,"It's all fun and games until it becomes this platform's problems. Disinformation and misinformation campaigns, authoritarian attempts to either shut them down or prevent moderation, hostage laws - you name it.",1,0,5,2,did:plc:s6j27rxb3ic2rxw73ixgqv2p,kenwhite.bsky.social,Domestic Enemy Hat,2024-08-30T21:54:07.708Z,Elon Musk believes it is outrageous for autocracies to be run by judges instead of by super-rich techbrahs,21,59,454,0,,,,,,0,0,0,0
did:plc:gxlz7eebfuxoivhpxqvg4f7u,okustersohw.bsky.social,Ashley but Ms. Santa,2024-08-31T05:31:37.782Z,Sounds right about Elon Musk and his entitlement. His mindset thinks “free speech in USA = free speech everywhere” and blatantly violates their laws (like him not doing anything to take moderation towards dis/misinformation about Brazilian election),1,0,1,0,did:plc:gzjhb4lj4f3in34zivefvqol,namispirit423.bsky.social,Nami 🌺,2024-08-31T05:27:12.438Z,"Something I kept saying was ""if you operate in a country, you have to abide by it's laws"". Clearly Elbow hasn't understood this as he's been picking fights with Brazil since what, 2020? 

And just recently he's started picking fights with Britain... Do you know how to business sir.",1,0,1,0,,,,,,0,0,0,0
did:plc:6lex766uif2o6hcu2cawgxsg,brainnotonyet.bsky.social,Karl (sad trombone noise enthusiast) ,2024-09-05T16:51:16.931Z,"It’s absolutely clear to me that moderation teams at whatever scale for social media should immediately have counter extremism encounter disinformation, and misinformation experts integrated as team members so moderation can correctly reflect the threat faced.  The old model should be discarded.",6,44,154,4,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:ndgn4ks7tklowitesfyll5up,zwillgen.com,ZwillGen,2024-09-05T14:19:13.039Z,"X has won an appeal to block parts of California’s content moderation law, which requires social platforms to publicly post policies against hate speech and misinformation. www.theverge.com/2024/9/4/242...",0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:l7l5l65nk5aogxmspxaqd5go,BeAware.social.beaware.live.ap.brid.gy,BeAware :fediverse:,2024-09-06T19:25:37.000Z,"I love the fact that because Threads has this dumb ""opt-in"" to the Fediverse crap, people who don't turn it on can spread lies and misinformation about Fedi and folks here can't even see it to dismiss the claims...😒🙄

Apparently there's NO moderation here whatsoever. Wild west motherfuckers! […]",0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:cmknwwv6dmqfvft2zsgrnkfz,i-dont-like-ai.bsky.social,I-DONT-LIKE-AI G15PMNProgrammerEditor,2024-09-12T23:21:45.228Z,"<<..the internet in 2024: Misinformation is everywhere, platforms are giving up on moderation and AI is making it all worse.>> #algorithmsarentintelligent

The quote is from CNN today:
edition.cnn.com/2024/09/12/b...",0,0,0,1,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee,2024-09-13T23:24:05.839Z,"Bluesky makes it possible for users and orgs *outside Bluesky* to label content for misinformation or other issues. You subscribe to these in the app, and can unsubscribe at any time.

Stackable moderation is one of our most novel experiments, so I'm excited that @newsdetective.bsky.social is here",100,513,2276,46,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:o5wlr3gi4tz23ake7ef23ejs,socialmedialab.ca,Social Media Lab,2024-09-14T21:27:05.994Z,"🚨[New Paper Alert]🚨

Q: Do soft moderation interventions such as fact-check footnotes and blur screens reduce engagement with misinformation?

A: Yes! (n=1500 in a controlled/ecologically valid environment) socialmedialab.ca/2024/09/11/n...",0,1,3,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:kmqjdyh4ff54jjv7kj6hw755,joahns.bsky.social,Joahn,2024-09-15T16:46:29.985Z,Might be Musk will continue to refuse to moderate and allow rightwing misinformation right up to the election and then start small moderation to try to impact the election with lies while avoiding most fines,0,0,2,0,did:plc:movn6xzezospl7lnkhy7nzpt,chadbourn.bsky.social,Mark Chadbourn,2024-09-14T21:14:39.784Z,The net closes on Musk: Australia wants to fine SM platforms 5% of global revenue for failure to curb misinformation.,18,113,362,7,,,,,,0,0,0,0
did:plc:o5wlr3gi4tz23ake7ef23ejs,socialmedialab.ca,Social Media Lab,2024-09-19T18:00:45.924Z,"🚨[New Best Paper Alert]🚨

Q: Do soft moderation interventions such as fact-check footnotes and blur screens reduce engagement with misinformation?

A: Yes! (n=1500 in a controlled/ecologically valid environment) 
socialmedialab.ca/2024/09/11/n...",0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:ibi3gi2f42t67ab5jz6gktuv,rolle.social,Roni Laukkarinen,2024-09-19T17:33:28.000Z,"Bill Gates: What's Next EP 2 watched. It's about misinformation, social media and algorithms.

Some quotes:

""You can just say to algorithms, yeah give me more of that. I keep scrolling, because I won't be manipulated.""

""I am a believer of more decentralized content moderation where users have […]",0,3,1,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:lyw3m7azmqpxy5rrzapttea3,wootmaster.bsky.social,Wootmaster,2024-09-20T01:10:36.045Z,"REMINDER: BLUESKY HIDES MORE THAN NSFW POSTS!

To change this, go to Settings, Moderation Settings, and then scroll down and select Bluesky Moderation Service!

From there you can change a bunch of settings, including my absolute favorites: Sexually Suggestive (Cartoon) and Rude(???)",5,264,396,3,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:o5wlr3gi4tz23ake7ef23ejs,socialmedialab.ca,Social Media Lab,2024-09-21T12:22:13.236Z,"🚨[New Paper Alert]🚨

Q: Do soft moderation interventions such as fact-check footnotes and blur screens reduce engagement with misinformation about the #RussianUkraineWar?

A: Yes! (n=1500 in a controlled/ecologically valid environment) socialmedialab.ca/2024/09/11/n...",4,7,12,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:fcefgos6nv43emrf5c4v6gf3,boblynn.bsky.social,Bob Lynn,2024-09-22T09:33:10.365Z,"Nextdoor UK: Navigating the Thin Line Between Community and Controversy
bit.ly/4gw6TVl
#Community #Moderation #Misinformation #Politics #Inclusivity",0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:aspna556t6cparf7ako5qlz7,serenas.bsky.social,Serena Snoad - Good Community,2024-09-25T15:11:24.099Z,"The first transparency report since Elon Musk took over reveals:

- a reduction in action on reports of hateful content
- weakened policy on hate speech and reversal of policy on misinformation
- an increased reliance on AI for moderation

But what does this mean in practice?",1,0,0,0,did:plc:aspna556t6cparf7ako5qlz7,serenas.bsky.social,Serena Snoad - Good Community,2024-09-25T15:10:17.219Z,"The verdict is in - moderation is considerably weaker on X/Twitter. 

See below for my analysis of the first transparency report since Elon Musk took over, and my recommendations for social media leads and their teams... 🧵

#ContentModeration #CommunityManagement",1,0,1,1,,,,,,0,0,0,0
did:plc:bcot5ddk6xdqwhod7fytigrk,koparafallskid.bsky.social,Robyn D,2024-09-25T07:59:55.114Z,"Any platform must ensure there is moderation to prevent misinformation (and hate, sexism etc) such as is flourishing on X at the moment. 

Jack leaving BlueSky is not new, it was announced months ago. 

To me, that article seems a little anti-BlueSky, but we'll see what happens. 

Take care!",1,0,1,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:zmgrjrt74hh4oa47fkvzyvmk,whatdivawants.bsky.social,D I V A,2024-09-26T00:22:08.672Z,Every single post and the profile itself tagged as misinformation - didn't even see that in Xwitter's good moderation heyday 😂,0,0,4,0,did:plc:gr26jvoror4ihzhuhheckekx,glennvotesblue.bsky.social,Glenn ,2024-09-25T23:34:33.326Z,Another misinformation spreading MAGA blocked ✅,5,2,14,1,,,,,,0,0,0,0
did:plc:rzailtwhn4h5pv5vtqd7uj3k,octopusmask.bsky.social,OctopusMask,2024-10-04T16:20:27.527Z,Bluesky moderation isn't all that bad. I feel like they are getting some things well and right.,0,0,1,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:dxki55ggtsasnrn4c4d3mzhc,caloricleader9.bsky.social,Ryan Boyd (CaloricLeader9),2024-10-09T17:39:16.021Z,"Safer, comfier, full of moderation and less spread of misinformation.",0,0,1,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:s3jrgludm23g3pi6m5r2244y,groguspeak.bsky.social,Grogu_Speak_NYC,2024-10-10T19:51:50.297Z,"X: Zero moderation. It's a far right misinformation/disinformation hellsite.

Threads: Heavy handed AI moderation. Accounts and posts are unjustifiably nuked with way too much frequency. 

Bluesky: So far so good 🤷‍♂️",11,11,133,2,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:wvwpuprgvu6gke6u4r4ldugp,tyranthater.bsky.social,TruthToPower,2024-10-12T03:19:25.708Z,"First post here.   Doesn't seem too bad, but wouldn't mind some kind of verified a senator, representative badge/etc for political officials.  

Interested in the content moderation here.  Fight misinformation and I will be in that group for life.  

Say no to orange clowns.",0,0,2,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:3b5xxadycemvtcarr6cnyouj,libraryofcontext.bsky.social,Lessa,2024-10-13T04:30:06.304Z,"Platforms such as WhatsApp, Viber and Telegram ""are stripped of many of the traditional mechanisms"" for content moderation found in other social networks and monetize features that amplify misinformation.

zn.ua/ukr/TECHNOLO...",0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:wk7sybhegd37i7ljsltxbef6,justinhendrix.bsky.social,Justin Hendrix,2024-10-14T23:11:35.282Z,"""For weeks, misinformation about [FEMA] and the Hurricane Helene response has spread far and wide on social media platforms — with more than a helpful nudge from Donald Trump, Elon Musk and the relaxed moderation policies of Musk’s platform, X. The real consequences of that have begun to show.""",0,11,20,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:nopri2iqtwt47uvycubqxue5,ocracokewaves.bsky.social,David Sobotta ,2024-10-14T18:40:37.880Z,"""Misinformation about FEMA and the Hurricane Helene response has spread far and wide on social media platforms — with more than a helpful nudge from Donald Trump, Elon Musk & the relaxed moderation policies of Musk’s platform, X.""   -WaPo The real consequences of words to others have begun to show.",0,0,2,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:j3odxqpxyduk2jgaj4mhtr6g,vinchenzojackal.bsky.social,Vinchenzo the Jackal,2024-10-15T00:29:25.615Z,"Vibes based moderation is based on banning over feelings, and not based on banning over the truth.
As such when people ban based on Vibes, they ban because they feel like 'something is off', and will often ban even when nothing is off, often banning over misunderstandings and misinformation.",1,0,2,0,did:plc:jsnhloku6kxjvvgp65wrcbde,hyenagrin.bsky.social,Harle A. Hyena,2024-10-15T00:23:58.140Z,"You know what a 'vibes' based rule is?

Where you can just accuse someone of something that can't be proven or disproven? And ban them for it?

That's a blank check to ban whoever the fuck you want, and potentially ruin someone's career by depriving them of their following and tarnishing their rep.",1,0,4,0,,,,,,0,0,0,0
did:plc:zuapdyrcpq3mw5xqll6yn3ut,artvelasco.com,Art Velasco,2024-10-18T17:38:42.248Z,"Go to your moderation settings, there's a bunch of post filter options. Including engagement bait and misinformation",0,0,3,0,did:plc:a5eprnqonjdoqnv7iozocrmz,radiantroar.bsky.social,Ripples「リップルス」🦋🐾🍭(she/they & ve/vir/virs),2024-10-18T17:27:57.324Z,wait how do you do that?,1,0,0,0,,,,,,0,0,0,0
did:plc:fokddkwdbwmgfed2q4ozdwbw,jordansbrock.bsky.social,Jordan,2024-10-21T07:32:30.876Z,"I’m still not entirely sure I’ve got this right. I was going through moderation options earlier, and useful as it seems to be, does this mean every time I post about a borzoi it gets filed under cryptid misinformation? Or ai pics? Because I promise, this sort of oddness happens ALL THE TIME here.",1,0,5,0,did:plc:gjjpvenw6wyniosexz7c6nt4,maryvarshini108.bsky.social,MaryVarshini108 🏳️‍🌈🏳️‍⚧️🐕🛷,2024-10-21T07:25:24.977Z,"It wasn't clear to me at first either. There's some bumps in the road here, but hopefully you'll figure out what makes you feel at home. Just remember, some of us have been getting up to speed for a few months. ❤️",1,0,3,0,,,,,,0,0,0,0
did:plc:mef4vqq3dgebwaztzk7akg76,dumbnotstupidfuck.bsky.social,shea ᡣ𐭩  | listening to GNX & CHROMAKOPIA,2024-10-22T23:56:34.427Z,"twitter purposely pushed misinformation and bigotry to make ppl stay on the site longer. so community notes was a solution to a problem elon directly caused. 

rapid misinfo isn’t necessarily an inherent feature of social media with proper moderation, it’s a problem perpetuated by those running it",0,0,1,0,did:plc:pzmusxrb6fo4locepuhzivu3,impgoo.art, imp 🧪꒦⎞⎛꒷꒦꒷̥꒷꒦꒷,2024-10-22T23:47:04.404Z,hm. i haven't experienced that dynamic with community notes. i thought it was just a system of contending with the spread of false information,1,0,0,0,,,,,,0,0,0,0
did:plc:j665oomoqsw4wfoztwr6npd3,legendarymapmaker.bsky.social,LegendaryMapMaker - Least Obsessive Agent 4 Fan,2024-10-22T15:58:41.643Z,"Studies have shown effective moderation works to curb toxicity and misinformation.

Meanwhile, sites like Twitter and Facebook have intentionally minimized their moderation and have become bastions of division and lies as a result.",0,0,0,0,did:plc:j665oomoqsw4wfoztwr6npd3,legendarymapmaker.bsky.social,LegendaryMapMaker - Least Obsessive Agent 4 Fan,2024-10-22T15:52:31.843Z,"A lot of people saying ""Just wait, when Blueksy gets bigger it'll be just as toxic as Twitter""

Meanwhile, the issue with Twitter was not the size, it was the lack of moderation, an algorithm that promoted literal hatespeech, and an owner that amplified that hate even further.",1,0,0,0,,,,,,0,0,0,0
did:plc:onwwbs4ltx6l5374ukkyg5gr,duskitten.cubiix.lol,Duskitten 🏳️‍🌈 ️‍⚧️ | Cubiix Project,2024-10-24T15:33:14.269Z,"I can't speak for Nat personally about the blocking, but I imagine, if you got viral and couldn't control the influx of people suddenly showing up, there are bound to be mistakes in moderation, especially when the app itself struggles to update with large influx's, alot of this is misinformation",1,0,1,0,did:plc:onwwbs4ltx6l5374ukkyg5gr,duskitten.cubiix.lol,Duskitten 🏳️‍🌈 ️‍⚧️ | Cubiix Project,2024-10-24T15:26:15.900Z,"The people who were banned from the github, were making troll/meme posts (on the github issues), which goes against the point of the github, people are misconstruing what happened, if you look at the godot mastodon, lgbt stuff is normally advertised and shown there, it is nothing new",1,0,0,0,,,,,,0,0,0,0
did:plc:g5o4liubfrfn4kwii57jxv6h,danshive.bsky.social,Dan Shive,2024-10-24T13:50:23.974Z,"Free speech absolutism with no moderation never survives contact with reality.

A good person in charge won’t be able to abide by bullying, dangerous misinformation, scams, etc.

A selfish person will abuse their position, and use moderation however it serves them.",1,6,30,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:l2rzndmladedkenw4viomyd4,officialgoogirl.bsky.social,truegoo,2024-10-24T06:58:47.573Z,Is it weird that im turning off moderation for like extremism and threats and whatever? I dont want the fucking app to decide for me what counts as misinformation or unverified claims or whatever,1,0,1,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:hp4u6umeuukwpiol243j57be,tobleh.bsky.social,tobleh,2024-10-25T14:25:44.011Z,"Some people just want a simple, uncomplicated SNS that's popular and has all their friends; moderation that protects everyone from bigotry and misinformation; whilst being free, self-sustainable, and not reliant on ads, subscriptions, pay to win, or venture capital; is that too much to ask!?

/s",0,1,9,1,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:52kl2g5wuleayof4tv4onc27,tobleh.sakurajima.moe.ap.brid.gy,Tobleh 🇨🇦 🫐✨,2024-10-25T14:23:51.000Z,"Some people just want a simple, uncomplicated SNS that's popular and has all their friends; moderation that protects everyone from bigotry and misinformation; whilst being free, self-sustainable, and not reliant on ads, subscriptions, pay to win, or venture capital; is that too much to ask!?",0,1,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:esj3q4bnh4tjslypk5d5nlhp,marielza.bsky.social,Marielza,2024-10-27T20:38:28.642Z,"Hi, Chris, thank you. Love Wikipedia! 

How do you deal with multiple languages and cultures (biases, misinformation, moderation approaches...)?",0,0,0,0,did:plc:umpsiyampiq3bpgce7kigydz,chrisalbon.com,Chris Albon,2024-10-27T19:00:16.223Z,"What do people want to hear about on here? Wikimedia’s work is public and open, so I’m happy to discuss basically anything relating to AI and Wikipedia in detail.",17,24,87,0,,,,,,0,0,0,0
did:plc:q7suwaz53ztc4mbiqyygbn43,xan.lol,"Xan ""🙏➕⤴️⏳🖼️"" SnH",2024-10-27T04:29:23.007Z,It's literally hidden by default 👀,3,2,38,0,did:plc:sb2qootdpfdvrr7qoz47eexj,bigachu.bsky.social,Adrian 🌩️,2024-10-26T21:50:07.446Z,there is no incentive to bait interaction here we are all just chilling,1,0,19,0,,,,,,0,0,0,0
did:plc:cxcdtl47gbr3r55bj7pv36o3,timcushing.bsky.social,Tim Cushing,2024-10-29T01:30:44.448Z,"Prof. Michael McConnell (one of 4 chairpersons on Meta's content moderation ""Oversight Board""): I can't actually find any evidence social media companies are stifling ""conservatives,"" but I won't let that lack of data prevent me from drawing unsupportable conclusions.

reason.com/volokh/2024/...",1,1,9,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:t47rx7ueu6a72qlb3blqfnnu,gaestan-ruze.bsky.social,Gæstän_Ruze,2024-10-30T19:02:17.923Z,"It's real. Misinformation is a true problem these days. I hate it. It's why I have politics and absolutely anything like that muted out in my words moderation. New world event? Muted every word I can think of to do with it.
Like no care. Just my interests.",1,0,41,0,did:plc:xrr5j2okn7ew2zvcwsxus3gb,catsofyore.bsky.social,Cats of Yore,2024-10-30T18:48:43.616Z,"This ocean of misinformation is eroding everyone's critical thinking skills. It seems like most people are totally fine with laziness and lies as long as they're funny, cute, or confirm their biases.",4,21,272,3,,,,,,0,0,0,0
did:plc:7jsc6vuh2mbtlp64suuskzon,dazwright.com,Daz,2024-10-31T12:35:23.717Z, I think their decision to try and discourage news was tactical. They ended up with an immense network out of the box and I doubt they had anywhere near enough moderation capacity to deal with misinformation that comes with current events,0,0,0,0,did:plc:ec4ocjzt53cytl42amsbpxbp,jonnelledge.bsky.social,Jonn Elledge,2024-10-31T12:30:01.779Z,"thing is, people will still want news, they'll just go elsewhere to get it. meta cornered the market then abandoned it, and the revenues they made there",2,0,2,0,,,,,,0,0,0,0
did:plc:anp365r3a2zm7fj4vhud2wck,m-jones.bsky.social,MJ,2024-11-01T22:09:47.074Z,BSky have abdicated responsibility for content moderation leading to bias and inconsistency. Petty vendettas are played out while potentially harmful content remains on the platform. Targeted individuals face harassment and hate speech with no means of recourse. Misinformation spreads unchecked.,0,2,4,0,did:plc:etsrij666vgnyx4cd3ekv4mx,addyspectreai.bsky.social,Addy Spectre ~ #WriterChick,2024-11-01T21:56:04.602Z,"It's all rather sick in the head. If taken to its ultimate conclusion, the block list would lead to stagnant biospheres of similarity.",1,0,1,0,,,,,,0,0,0,0
did:plc:3lyznxzrddyvxmtyidg6ojsk,coyoteden.bsky.social,Coyote ^.^ ΘΔ,2024-11-01T19:18:25.197Z,"It warns those who see it that the post and account is spreading misinformation. You can always block them yourself. Removing all evidence doesn’t do that. 

It is also possible for moderation to make a mistake.",1,0,31,0,did:plc:cly5kqawu7vkjpv4xhmzm7jr,bartislatfass.bsky.social,Barti Slatfass,2024-11-01T19:09:45.316Z,Why just mark it as misinformation instead of deleting the skeet and banning the offending account?,1,0,4,0,,,,,,0,0,0,0
did:plc:eon2iu7v3x2ukgxkqaf7e5np,safety.bsky.app,Bluesky Safety,2024-11-01T18:38:57.699Z,"We’ll be reviewing content for potential misinformation and unconfirmed information regarding claims about the U.S. election.

Remember, you can report posts to Bluesky’s moderation service for misleading and illegal/urgent content by clicking the three-dot menu on each post or account.",10,318,1429,15,did:plc:eon2iu7v3x2ukgxkqaf7e5np,safety.bsky.app,Bluesky Safety,2024-11-01T18:38:41.856Z,"This has been a big year for elections globally, and we’re a few days away from the U.S. Presidential election.

Here’s how our team, led by @aaron.bsky.team who previously led election integrity efforts at Twitter, is preparing:",63,827,3307,93,,,,,,0,0,0,0
did:plc:xqupx7osei456mawzwxxlmvo,lavidagata.bsky.social,Kat O’Brien,2024-11-01T12:44:54.514Z,"The misinformation out there is massive, and if you think moderation is lacking on social media platforms in English, it’s exponentially worse in Spanish & beyond. www.wsj.com/politics/nat...
#democracy #journalism",0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:l2x3nn7edvmirt4od4iuvhb7,donachaidh.bsky.social,Die Hard Is a Christmas Movie,2024-11-01T06:16:46.692Z,I've said for over a decade that you can tell what social media companies' priorities are by where they spend money. Company employees get fed exquisite meals daily while content moderation is contracted overseas.,3,8,24,0,did:plc:l2x3nn7edvmirt4od4iuvhb7,donachaidh.bsky.social,Die Hard Is a Christmas Movie,2024-11-01T06:14:04.010Z,"While this is true, it's also an extremely narrow and Western-centric view of the problem. In large parts of the world, Facebook effectively *is* the internet, and for the parts where it isn't, social media is still going to provide you with broad trends at a minimum.",1,2,11,0,,,,,,0,0,0,0
did:plc:mna5tpryt2sjvdniiv7p6sbp,heterodoxthis.bsky.social,Heterodox This,2024-11-02T03:16:48.230Z,"Seeing Rising Election Misinformation, Americans Say Social Media Platforms May Bear Responsibility for Political Violence",1,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:hsx3iv2r2z5m77fs7ln525am,jackkelleyma.bsky.social,Jack Kelley,2024-11-05T04:19:50.725Z,"Does @bsky.app have a moderation team to combat election misinformation tomorrow, or does it, like Twitter, not know the difference between ""free speech"" and lies?",0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:5bnbgj7gwebt6hhub4pa5c7n,noupside.bsky.social,Renee DiResta 🆒,2024-11-05T03:49:05.724Z,"Researchers who helped election officials deal w/the mess were called a “cabal”. A concerted effort by election-denier elites to suppress reality & change the rules has made 2024 a volatile challenge.

Misinformation is not the problem.",1,3,23,0,did:plc:5bnbgj7gwebt6hhub4pa5c7n,noupside.bsky.social,Renee DiResta 🆒,2024-11-05T03:47:39.991Z,"In under the wire! Happy Election Day Eve! I wrote a thing for @theunpopulist.net 

It wasn’t Russian trolls that spread the most damaging election lies in 2020—it was the President & his allies. Stating the obvious, however, led to accusations of “bias”… 

www.theunpopulist.net/p/the-maga-p...",2,21,72,1,,,,,,0,0,0,0
did:plc:agsotpth3qz7x727f2pyvw4o,appyjumpindaze.bsky.social,MD or Bust aka Applejuice,2024-11-07T15:22:02.797Z,"Hey newbies! Make sure to go to Blue Moderation and select the labels you don't want to see. This includes misinformation, impersonation accounts, hate posts, etc. Makes the scrolling much nicer 😌

bsky.app/profile/mode...",3,11,19,1,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:agsotpth3qz7x727f2pyvw4o,appyjumpindaze.bsky.social,MD or Bust aka Applejuice,2024-11-07T15:17:44.745Z,This is why I love Blue. There's labels for accounts that post misinformation and you can subscribe to lists which will automatically block any accounts added to those moderation lists. It's already ran a few bad actors off here bc they don't get interactions 😂,0,0,2,0,did:plc:vlu7phn7ukzdmfdklid6av5q,thanhneville.bsky.social,"Thanh Neville, MD, MSHS",2024-11-07T02:29:27.850Z,"I just discovered why I was starting to get hate tweets on Twitter. The a-hole blocked me and reposted my tweet, what a coward.",17,4,76,0,,,,,,0,0,0,0
did:plc:2hh2hl5ojh75mdiunk5kggib,ariannaciccone.bsky.social,Arianna Ciccone,2024-11-07T11:37:41.492Z,"Google allowed election misinformation to course through YouTube, even monetizing some of the dangerous lies. And across the entire industry, content moderation teams were cut and discarded in favor of maximizing profits.",1,0,3,0,did:plc:2hh2hl5ojh75mdiunk5kggib,ariannaciccone.bsky.social,Arianna Ciccone,2024-11-07T11:37:07.184Z,"... Trump’s suspensions were lifted by Meta and X. Musk transformed Twitter into a right-wing megaphone with nowhere near enough scrutiny from news organizations and journalists, most of whom continue to lend their credibility to the zombie platform by remaining active on it.",1,0,1,0,,,,,,0,0,0,0
did:plc:c7vyv3rfip6mejhnzairvkd3,wademinter.com,Wade Minter,2024-11-08T23:31:51.946Z,"Bluesky (the company) employs a Trust & Safety team, and runs its own labeler that everyone has to use. So that's your base level of moderation. They have classes of content like ""Self-Harm"", ""Threats"", ""Intolerance"", ""Misinformation"", etc. And you can choose how you handle each.",1,0,4,0,did:plc:c7vyv3rfip6mejhnzairvkd3,wademinter.com,Wade Minter,2024-11-08T23:31:51.945Z,"What that means is that here, you can subscribe to multiple different moderation services (called Labelers), configure them, and stack them together to help you decide what type of stuff you want to see.

You can see these in your Settings -> Moderation area in the app/web.",1,0,3,0,,,,,,0,0,0,0
did:plc:tr6fohwojsjgj2kxlvn74zmh,sugarcubedog.bsky.social,MB,2024-11-08T13:44:34.527Z,"The moderation one is easy. What comes up are your settings on misinformation, violence, etc and you just choose.",1,0,2,0,did:plc:xpyb6adjnpkml7ik5nocbjtb,lacerantplainer.bsky.social,,2024-11-08T13:42:13.042Z,Okay let me see....I'm slow so bear with me 😊🫡,1,0,0,0,,,,,,0,0,0,0
did:plc:5bnbgj7gwebt6hhub4pa5c7n,noupside.bsky.social,Renee DiResta 🆒,2024-11-09T18:30:07.245Z,"Hey Thacker! Reply using the alt you follow me with here, and post the evidence from the tossed Murthy case that proves me wrong. 

In the meantime, here’s Justice Amy Coney Barrett reiterating that your victimhood complex friends didn’t have the goods. 

www.supremecourt.gov/opinions/23p...",4,14,83,2,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:z3i5q2f537wbcfbojpnbuu5r,enricofermi.bsky.social,Fermi's Political Paradox,2024-11-09T17:20:34.454Z,"Happy to see you here. Now that the richest guy in the world bought the Twitter public square and turned it into the misinformation engine of authoritarian dreams, BlueSky is a happy return to those pre-Musk days of sensible moderation.",1,1,7,0,did:plc:a3byzcxps6f4n2typkigozpm,joycevance.bsky.social,Joyce Vance,2024-11-09T15:55:07.501Z,Hi Bluesky. It's been awhile.,63,44,504,5,,,,,,0,0,0,0
